,Poems,/People & Society/Family & Relationships/Troubled Relationships,/Arts & Entertainment/Music & Audio,/Food & Drink/Cooking & Recipes,/Arts & Entertainment,/Books & Literature,/Computers & Electronics,/Pets & Animals,/Pets & Animals/Wildlife,/Hobbies & Leisure,/Sensitive Subjects,/Shopping/Apparel,/People & Society/Family & Relationships,/Arts & Entertainment/Movies,/Pets & Animals/Pets/Birds,/Sports,/Pets & Animals/Pets/Dogs,/Pets & Animals/Pets/Cats,/People & Society,/Business & Industrial,/Food & Drink,/Health,/Sports/International Sports Competitions/Olympics,/Home & Garden/Gardening & Landscaping,/Science,/Health/Health Conditions/Cancer,/Law & Government,/Finance/Credit & Lending,/People & Society/Religion & Belief,/Arts & Entertainment/Visual Art & Design/Painting,/Health/Health Conditions,/Science/Biological Sciences,/Law & Government/Legal,/Arts & Entertainment/Performing Arts/Dance,/News/Politics,/Games/Computer & Video Games,/Sports/Individual Sports/Skate Sports,/Shopping,/Sports/Sporting Goods,/Arts & Entertainment/TV & Video,/News,/Health/Health Conditions/Pain Management,/Computers & Electronics/Computer Hardware,/Law & Government/Public Safety,/Games,/Shopping/Gifts & Special Event Items/Flowers,/Hobbies & Leisure/Special Occasions,/Arts & Entertainment/Humor,/Hobbies & Leisure/Water Activities/Surf & Swim,/Sports/Water Sports/Swimming,/Sports/International Sports Competitions,/Health/Vision Care,/Internet & Telecom,/Business & Industrial/Agriculture & Forestry,/Pets & Animals/Animal Products & Services/Pet Food & Supplies,/Home & Garden/Pest Control,/Food & Drink/Food,/Food & Drink/Beverages/Alcoholic Beverages,/People & Society/Family & Relationships/Marriage,/Beauty & Fitness/Face & Body Care,/Beauty & Fitness/Hair Care,/Food & Drink/Beverages,/Books & Literature/Poetry,/Arts & Entertainment/Visual Art & Design,/Home & Garden,/Reference,/People & Society/Family & Relationships/Family,/Sports/Team Sports,/Sports/Individual Sports/Racquet Sports,/News/Sports News,/Arts & Entertainment/Celebrities & Entertainment News,/Pets & Animals/Pets,/Hobbies & Leisure/Outdoors/Fishing,/Law & Government/Public Safety/Crime & Justice,/Science/Astronomy,/Hobbies & Leisure/Crafts,/Sports/Extreme Sports,/Sports/Combat Sports/Boxing,/Jobs & Education/Education,/Arts & Entertainment/Offbeat/Occult & Paranormal,/Online Communities/Dating & Personals,/Sports/Team Sports/Cricket,/Arts & Entertainment/Music & Audio/Rock Music,/Arts & Entertainment/Comics & Animation/Anime & Manga,/Food & Drink/Food/Meat & Seafood,/Beauty & Fitness,/Reference/General Reference,/Reference/Language Resources,/People & Society/Social Issues & Advocacy,/Law & Government/Legal/Legal Services,/Beauty & Fitness/Fashion & Style,/Internet & Telecom/Web Services,/Hobbies & Leisure/Water Activities/Boating,/Health/Health Conditions/Sleep Disorders,/Business & Industrial/Business Services,/Science/Computer Science,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop
0,"from his room he sat, feeling asleep (had the fireman, quite starting to laugh) but joe's pants had mistook he was just a mistook (and he ever did not. what a gaffe)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,we're divorced. my love's completely unplanned i've cheated and i've got it on hand but she wants me to say gotta get it all day she's the next time for what i had planned,0.8799999952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"i believe that my limerick's lacking and i simply don't get the backing that i've nowhere to go so the meter, i know 'cause my rhymes, in the end i'll be cracking",,0.6100000143051147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"my grandmother often would show using soup in a pouch made of chow cheese, cabbage and beans make our cooking machines while the onion is growing to grow",,,0.5299999713897705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,there once was a girl from siberia who practiced good hair way way down to ya so she grew in her hair growing up in her hair and contracted her adiophilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"there once was a girl from siberia who studied the parts of immiberia and though she was siberian not trite, and siberian so she spoke siberia or niberia",,,,0.6299999952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"it's a term, i'm afraid, that is silly but today, here's its meaning. it's silly using limerick verse writing limericks or worse so, reader, its meter's not chilly",,,,,0.7400000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"you are asking for trouble, i fear there's a tale i advise you to steer get the question for one, you'll ask your censure, congeal the responses might make you quite clear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"if you'd like a fast and furious fight don't get angry, come loose, and hold tight but don't let it all go since you're eager to know you are ready to wake you each night",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,your computer is useless when fried and you've stuck what is left on your side if your hard disk's hot it's your disk you have got we'd be sure that it doesn't provide,,,,,,0.6100000143051147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"the paunchiest big cat of yore he's tailless, as wild as an aore will be chased by the kest and some cats with his jest though his name is for",,,,,,,0.5600000023841858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"the chamferman's work, in its prime was a french, but just measure the time using records of war the units that are for but it's not a french for short rhyme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,so you think i'm an outcast? you're wrong i do not sing out words from a song all my hearing is hell advise you as well and i doubt you'd be dancing along,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,after years of arduous wrangling my patience's a measure of jingling i'm ready to go i move to and fro my chronometer's long to keep sounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,a chimp who has suffered from sloth and as big as a bat and a moth though it's all that they eat it's really a treat they will often eat meat wrapped in cloth,,,,,,,,0.9599999785423279,0.949999988079071,0.6899999976158142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,my new job's been really quite challenging so avoid any oozing or snarking think i'm stuck in the scrub so i'm turning to grub but the shower is much more exciting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,you should see a man dressed as clown but for getting your clothes out of town you could look benighted you could look benighted and ask for a bright-colored gown,,,,0.5199999809265137,,,,,,,0.7799999713897705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"they were wed at this point in their prime this is, for example, in rhyme when we read this short verse be it lively or terse back off, well, or even past time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"the term amokusa appears it's a beauty with any man's ears we refer to the locus if not, it may lull us that's a whisper of sighings and fears",,,,0.550000011920929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
